Label,Area,BX,BY,Width,Height(cm)
EG10 1121 TOP_Scale_225.tif,34.272,0,0,4.427,7.742
EG10 1184 TOP_Scale_240.tif,55.598,0,0,5.438,10.225
EG10 1223 TOP_Scale_225.tif,46.039,0,0,5.627,8.182
EG10 1320 TOP_Scale_237.tif,54.855,0,0,6.81,8.055
EG10 1559 TOP_Scale_225.tif,49.838,0,0,6.382,7.809
