Name,Type,Volume,Length,Width,Thickness,Length of the higher touch point of width,Length of the higher touch point of thickness,width at half length,thickness at half,width at one fifth,thickness at one fifth,width at four fifth,thickness at four fifth,3DGMPC1(10x10),3DGMPC2(10x10),3DGMPC3(10x10),3DGMPC4(10x10),3DGMPC5(10x10),ScarCount,SurfaceArea3D,SDI,%Cortex,%Ventral,%Flaked,SurfaceAreaCallipers,%FlakedVisual,%FlakedCallipers,FAC1_1
OGS7-2066,Oldowan,13719.79158,42.59521013,30.03119916,29.52225854,17.02403887,10.30437279,27.36774113,21.52108751,25.97107848,29.19087357,20.74670456,16.42177038,-1.2265,-0.3574,2.2095,0.0276,-1.1214,15,3542.781723,0.004233961,9.75,0,90.25,5463.733333,95,0.833662575,-1.327421638
OGS7-2081,Oldowan,19571.13596,45.43475455,38.14676826,24.65714486,27.50676936,26.88710445,33.81749429,23.40359577,34.98431092,23.83652603,24.35644259,19.92479191,-1.7575,0.4191,0.2097,0.0066,0.7004,7,4292.550801,0.001630732,47.616,0,52.384,6463.166667,60,0.585114108,-0.95079821
OGS7-2092,Oldowan,14336.42763,34.66843041,34.0293707,25.96005366,17.46056066,13.47785563,32.80934535,25.52186082,33.51495268,25.36524128,21.43929119,20.63807557,-1.805,-0.4549,-1.4006,-0.309,1.0721,6,3355.848427,0.001787923,51.845,0,48.155,4982.933333,50,0.529244488,-1.458471687
OGS7-2114,Oldowan,20795.79173,44.33395179,39.12262272,34.63445406,12.22521787,19.72009562,30.88855198,33.54624535,37.96876462,31.8030769,22.38943741,19.18008247,-2.2152,-1.0255,0.2955,-1.7031,1.4818,8,4470.389893,0.001789553,34.458,0,65.542,7687.956667,60,,-1.55885167
OGS12-13,Pick,329420.9128,171.9596823,91.36688767,63.66758547,91.88050885,67.75464469,90.94233105,56.98508516,74.73354047,51.37377307,65.88362318,28.94837898,1.8345,0.4692,0.0333,-0.04,-0.1758,13,31229.09326,0.000416278,24.094,31.576,44.33,58316.2977,40,0.418544917,0.355645548
OGS12-16,Handaxe/Cleaver,205943.0019,131.7349127,83.55946594,43.48146166,63.86677498,71.92329774,82.71012926,41.91998052,68.18527523,43.46433147,53.40385732,20.83770267,0.5485,0.0142,-0.285,-0.2172,-0.32,11,21978.42586,0.000500491,36.965,0,63.035,33653.6723,60,0.621519096,0.786874884
OGS12-63,Handaxe/Cleaver,230270.3364,166.6996195,85.69830057,48.76776449,62.40911132,72.34652152,79.07127505,46.10741969,77.58652209,36.61089825,35.46707625,28.93641999,2.0248,0.0107,-0.2236,-0.5395,-0.4423,4,25779.52488,0.000155162,26.618,31.088,42.294,38727.4062,40,0.258474246,1.567594654
OGS12-74,Pick,326280.0205,149.7376048,87.72087158,71.71778991,60.51875938,25.33583582,73.70279675,57.58451998,82.26780862,71.01789986,39.68432572,31.93314162,0.8599,-1.1407,1.0446,0.312,-0.2093,15,29198.25199,0.000513729,23.571,0,76.429,44418.7182,80,0.716951801,-0.120476569
OGS12-102,Pick,166400.1858,128.5929583,79.09428987,47.63256998,65.73984061,83.73134218,78.06728729,47.36250409,63.95026615,30.11246972,37.13323754,27.65341341,1.1154,0.3545,-0.2979,-0.0963,-0.0313,10,19171.15399,0.000521617,33.544,21.086,45.37,30179.2812,65,0.36112656,0.535491582
OGS12-110,"""Retouched Flake/Knife""",159932.0859,115.0246369,91.53153617,45.81800845,38.8060288,32.93761413,87.26294946,35.00131338,89.91091954,39.53693892,45.59098824,16.29614468,0.7003,0.0061,-0.1981,0.7349,-0.6929,7,20495.82142,0.000341533,9.32,40.421,50.259,30928.49307,40,0.472799304,0.873765634
OGS12-113,"""Retouched Flake/Knife""",140636.2073,124.639496,80.36357334,45.21207515,52.66057175,52.45858712,77.47649034,38.21047184,58.92725525,45.1681591,46.54323355,20.74040568,1.6544,1.0272,0.4225,1.1281,0.7706,4,18001.17207,0.000222208,28.686,45.626,25.688,26069.058,30,0.215514776,0.828719195
OGS12-115,"""Retouched Flake/Knife""",276080.1563,144.9418023,98.64116151,51.25369966,71.98961245,65.98318668,97.48854221,45.48888255,82.99472039,50.99081888,60.22681323,20.35247411,1.1282,0.3607,0.1971,1.2627,0.4113,4,27751.14741,0.000144138,44.377,35.288,20.335,35440.84417,15,0.233201274,0.132404007
OGS12-226,Handaxe/Cleaver,265926.4603,146.8479093,97.08638495,56.98601238,63.72911316,68.87627428,88.92459266,53.4315864,93.84650044,48.18327881,47.90444418,29.96949285,1.1434,-0.0491,-0.4351,-0.048,-0.3111,14,28122.78925,0.000497817,3.88,0,96.12,44607.9286,95,0.809954475,0.683005203
OGS12-2012,Pick,286650.3212,172.9814853,83.33122997,73.75098051,113.2366165,91.19937374,80.87771,71.63749219,55.47582921,45.38900033,58.25417043,30.91020527,1.9119,0.4953,-0.5863,-1.3083,0.2013,10,30194.04869,0.000331191,8.761,0,91.239,47937.316,95,0.953519884,0.342966958
