Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Average_scar_area,BaseRefinement,MidRefinement,TipRefinement,AvgScarLength,GM_Scar_length,SDI,Volume_fitted,Avg_Scar_length,Contexts,LbyBr,LbyT,SA_Corrected,cSDI,Dis_1,Dis_2,Flaked,Note
OGS5,OGS5,34,40,cobble,308,87.16,75.5,58.52,60.3,74.41,40.29,40.97,53.94,48.04,3,22881.04,55.75,1.56,1.08,1.33,0.72,0.73,0.97,0.86,1,Core,2285.56,1.47,1.38,0.84,57.84,3.11,0.01,242174.09,57.84,Acheulean,1.15,1.49,14481.67,0.02,1,cobble,Flaked,
OGS5,OGS5,35,60,cobble,306,93,77.54,49.69,67,76,62,46,48,34,7,25836,57.99,1.6,1.16,1.31,1.07,0.79,0.83,0.59,1,Core,1308.73,1.46,1.58,1.82,40.03,4.83,0.03,271238.22,40.03,Acheulean,1.2,1.87,16351.9,0.04,1,cobble,Flaked,
OGS5,OGS5,36,100,indet,860,150,85,70,81.25,85.04,75.06,41,64.56,65.39,13,49469.42,75.09,2,1.08,1.13,1,0.55,0.86,0.87,2,Handaxe,3780.43,1.98,1.32,1.15,75.48,13.07,0.03,679615.49,75.48,Acheulean,1.76,2.14,31309.76,0.04,2,cobble,Flaked,core/protobiface?
OGS5,OGS5,37,0,flake,1236,160,129,58,100,126.7,87.7,58,53,32,0,57395.73,77.95,2.05,1.28,1.63,1.13,0.74,0.68,0.41,2,Large Flake,#NULL!,1.72,2.39,2.74,#NULL!,0,0,808975.2,#NULL!,Acheulean,1.24,2.76,36326.41,0,2,flake,Unmodified,
OGS5,OGS5,30+25,0,flake,1572,196,120,54.4,113.65,117,91,47,47,22,0,64529.82,73.44,2.67,1.55,1.59,1.24,0.64,0.64,0.3,2,Large Flake,#NULL!,2.42,2.49,4.14,#NULL!,0,0,830656.13,#NULL!,Acheulean,1.63,3.6,40841.66,0,2,flake,Unmodified,
OGS5,OGS5,40,0,flake,904,160,105.6,61.34,72,101.36,65,56.74,59.3,25,0,46179.61,67.5,2.37,1.07,1.5,0.96,0.84,0.88,0.37,2,Large Flake,#NULL!,1.27,1.71,2.6,#NULL!,0,0,618865,#NULL!,Acheulean,1.52,2.61,29227.6,0,2,flake,Unmodified,
OGS5,OGS5,42,75,cobble,900,168,94,90,92.17,80.67,47.82,74,90,50.44,7,57963.82,79.5,2.11,1.16,1.01,0.6,0.93,1.13,0.63,2,Pick,6320.61,1.25,0.9,0.95,118.44,10.43,0.01,914367.53,118.44,Acheulean,1.79,1.87,36685.96,0.02,2,cobble,Flaked,
OGS5,OGS5,43,5,flake,888,152.3,105.5,49.5,85.8,103.7,75.7,48.6,50.9,28,4,46161.62,68.54,2.22,1.25,1.51,1.1,0.71,0.74,0.41,2,Knife,832.65,1.77,2.04,2.7,34.94,2.04,0.01,581386.56,34.94,Acheulean,1.44,3.08,29216.22,0.01,2,flake,Flaked,
OGS5,OGS5,46,100,indet,1514,216,103,100.4,86.09,103,47.49,61.75,96.87,54.4,16,72641.91,84.04,2.57,1.02,1.23,0.57,0.73,1.15,0.65,2,Pick,4758.11,1.39,1.06,0.87,87.61,16.68,0.02,1274281.36,87.61,Acheulean,2.1,2.15,45975.89,0.03,2,cobble,Flaked,
OGS5,OGS5,47,0,flake,688,156,78.43,49.69,72.81,75.79,53.9,26.29,49,43.5,0,37672.98,59.37,2.63,1.23,1.28,0.91,0.44,0.83,0.73,2,Large Flake,#NULL!,2.77,1.55,1.24,#NULL!,0,0,410426.1,#NULL!,Acheulean,1.99,3.14,23843.66,0,2,flake,Unmodified,
OGS5,OGS5,49,100,indet,400,123,78,66,72.03,68.22,32.09,44.5,60.17,31.22,15,29482.04,55.5,2.22,1.3,1.23,0.58,0.8,1.08,0.56,2,Pick,#NULL!,1.62,1.13,1.03,#NULL!,#NULL!,0.05,337383.36,#NULL!,Acheulean,1.58,1.86,18659.52,0.08,2,cobble,Flaked,pick tip
OGS5,OGS5,5,5,flake,892,175,111,48,96.29,68.93,35.36,73.53,71.23,58.87,4,56319.68,74.44,2.35,1.29,0.93,0.48,0.99,0.96,0.79,2,Knife,#NULL!,1.31,0.97,0.6,#NULL!,#NULL!,0.01,812642.45,#NULL!,Acheulean,1.58,3.65,35645.37,0.01,2,cobble,Flaked,
OGS5,OGS5,50,10,flake,786,154.81,112.97,54.67,101.64,112,59.68,58.4,55,31.57,6,50990.19,72.63,2.13,1.4,1.54,0.82,0.8,0.76,0.43,2,Knife,2714.62,1.74,2.04,1.89,59.54,4.92,0.01,714194,59.54,Acheulean,1.37,2.83,32272.27,0.02,2,flake,Flaked,
OGS5,OGS5,51,25,flake,2172,255,129.87,88.33,105.8,111.86,78,70,88,40,3,94448.2,92.51,2.76,1.14,1.21,0.84,0.76,0.95,0.43,2,Knife,11036.11,1.51,1.27,1.95,115.18,3.73,0,1714108.57,115.18,Acheulean,1.96,2.89,59777.34,0.01,2,flake,Flaked,
OGS5,OGS5,52,5,flake,646,109,138,49,92.16,102.01,71.3,28.5,49.6,36.79,4,32889.18,62.68,1.74,1.47,1.63,1.14,0.45,0.79,0.59,2,Knife,460.05,3.23,2.06,1.94,22.01,1.4,0.01,370828.51,22.01,Acheulean,0.79,2.22,20815.94,0.02,2,flake,Flaked,
OGS5,OGS5,55,0,flake,726,145.8,95.9,60.4,80.6,90.5,73.3,60,54.8,40,0,46570.24,72.23,2.02,1.12,1.25,1.01,0.83,0.76,0.55,2,Large Flake,#NULL!,1.34,1.65,1.83,#NULL!,0,0,612366.12,#NULL!,Acheulean,1.52,2.41,29474.84,0,2,flake,Unmodified,
OGS5,OGS5,56,0,flake,288,114.6,89.2,32.4,69.4,85.2,67.9,31.7,26.8,16.3,0,26020.47,48.56,2.36,1.43,1.75,1.4,0.65,0.55,0.34,2,Large Flake,#NULL!,2.19,3.18,4.17,#NULL!,0,0,211406.78,#NULL!,Acheulean,1.28,3.54,16468.65,0,2,flake,Unmodified,
OGS5,OGS5,57,30,flake,498,127,92,45,83.13,85.38,60.56,44.62,40.85,25.9,11,34101.68,59.29,2.14,1.4,1.44,1.02,0.75,0.69,0.44,2,Handaxe,1139.94,1.86,2.09,2.34,38.74,7.19,0.03,367363.68,38.74,Acheulean,1.38,2.82,21583.34,0.05,2,flake,Flaked,
OGS5,OGS5,54,0,flake,398,110.3,85.7,54.5,63.8,77.3,58.5,31,52.2,53.1,0,29784,59.8,1.84,1.07,1.29,0.98,0.52,0.87,0.89,2,Large Flake,#NULL!,2.06,1.48,1.1,#NULL!,0,0,331930.12,#NULL!,Acheulean,1.29,2.02,18850.63,0,1,flake,Unmodified,
OGS5,OGS5,58,50,cobble,332,84.58,69.18,61.03,59.47,69,58.3,55.12,60.24,43.42,6,25293.79,60.35,1.4,0.99,1.14,0.97,0.91,1,0.72,1,Core,1598.14,1.08,1.15,1.34,38.48,3.83,0.02,278163.13,38.48,Acheulean,1.22,1.39,16008.72,0.04,1,cobble,Flaked,
OGS5,OGS5,59,10,flake,420,110,94,37,78.04,109.22,66.79,36.54,38.46,19.76,4,29750.75,56.05,1.96,1.39,1.95,1.19,0.65,0.69,0.35,2,Knife,1854.25,2.14,2.84,3.38,34,2.43,0.01,303901.9,34,Acheulean,1.17,2.97,18829.59,0.02,2,flake,Flaked,
OGS5,OGS5,6,75,cobble,1866,212,121,82,140.56,123.99,87.29,89.8,80.9,43.6,9,96442.59,100.31,2.11,1.4,1.24,0.87,0.9,0.81,0.43,2,Pick,8229.35,1.57,1.53,2,106.16,9.52,0.01,1851066.25,106.16,Acheulean,1.75,2.59,61039.61,0.01,2,cobble,Flaked,
OGS5,OGS5,60+68,20,flake,1340,190,118.8,59.8,99.84,105,84,59,47,32,9,62644.96,76.15,2.5,1.31,1.38,1.1,0.77,0.62,0.42,2,Handaxe,1940.8,1.69,2.23,2.63,56.86,6.72,0.01,847300.21,56.86,Acheulean,1.6,3.18,39648.71,0.02,2,flake,Flaked,
OGS5,OGS5,61,5,flake,446,138,90.75,50,78,82.71,62.47,18.7,44.8,31.2,2,32652.62,54.64,2.53,1.43,1.51,1.14,0.34,0.82,0.57,2,Knife,1293.86,4.17,1.85,2,39,1.43,0.01,323929.3,39,Acheulean,1.52,2.76,20666.22,0.01,2,flake,Flaked,
OGS5,OGS5,62,5,flake,1080,179.22,108.35,60.93,87.46,109.72,79.81,62.61,55.65,34.16,6,59508.09,77.2,2.32,1.13,1.42,1.03,0.81,0.72,0.44,2,Handaxe,1321.21,1.4,1.97,2.34,37.67,2.93,0.01,846218.13,37.67,Acheulean,1.65,2.94,37663.35,0.02,2,flake,Flaked,
OGS5,OGS5,63,5,flake,848,164,108,45.66,92.5,107.6,67,46,44,26,3,47882.6,66.51,2.47,1.39,1.62,1.01,0.69,0.66,0.39,2,Knife,1312.89,2.01,2.45,2.58,40.87,1.84,0.01,580783.37,40.87,Acheulean,1.52,3.59,30305.44,0.01,2,flake,Flaked,
OGS5,OGS5,64,10,flake,1100,151,133,59,110.93,111.09,89.13,59.21,55.5,36.52,7,56369.45,79.41,1.9,1.4,1.4,1.12,0.75,0.7,0.46,2,Knife,1441.16,1.87,2,2.44,33.14,2.92,0.01,796716.32,33.14,Acheulean,1.14,2.56,35676.86,0.02,2,flake,Flaked,
OGS5,OGS5,65,0,flake,550,127,91,54.2,73.5,91,61.2,28.7,53.7,37.2,0,33621.49,60.54,2.1,1.21,1.5,1.01,0.47,0.89,0.61,2,Large Flake,#NULL!,2.56,1.69,1.65,#NULL!,0,0,388622.63,#NULL!,Acheulean,1.4,2.34,21279.42,0,2,flake,Unmodified,
OGS5,OGS5,66,10,flake,642,120,101,49,79.89,102.71,79.18,33.91,49.44,32,4,35413.23,63.54,1.89,1.26,1.62,1.25,0.53,0.78,0.5,2,Knife,1113.84,2.36,2.08,2.47,44,2.77,0.01,408704.17,44,Acheulean,1.19,2.45,22413.44,0.02,2,flake,Flaked,
OGS5,OGS5,67,0,flake,1110,187,114,58.5,95.4,113.8,78.7,57.9,50.85,32.6,0,61602.45,76.5,2.44,1.25,1.49,1.03,0.76,0.66,0.43,2,Large Flake,#NULL!,1.65,2.24,2.41,#NULL!,0,0,856288.58,#NULL!,Acheulean,1.64,3.2,38988.89,0,2,flake,Unmodified,
OGS5,OGS5,69,0,flake,804,135,131.5,56.14,115,125,79.4,54.9,50.94,31.5,0,49921.2,75.18,1.8,1.53,1.66,1.06,0.73,0.68,0.42,2,Large Flake,#NULL!,2.09,2.45,2.52,#NULL!,0,0,676362.56,#NULL!,Acheulean,1.03,2.4,31595.7,0,2,flake,Unmodified,
OGS5,OGS5,7,75,cobble,1316,184,108,85,84.59,84.52,73.12,83.99,80.1,51.97,9,67121.67,85.58,2.15,0.99,0.99,0.85,0.98,0.94,0.61,2,Pick,5162.63,1.01,1.06,1.41,95.16,10.01,0.01,1073214.62,95.16,Acheulean,1.7,2.16,42482.07,0.02,2,cobble,Flaked,
OGS5,OGS5,71,0,flake,270,110.5,101.3,28.2,74,98,61,27.2,29.4,25.3,0,26753.73,51.71,2.14,1.43,1.9,1.18,0.53,0.57,0.49,2,Large Flake,#NULL!,2.72,3.33,2.41,#NULL!,0,0,234736.14,#NULL!,Acheulean,1.09,3.92,16932.74,0,2,flake,Unmodified,
OGS5,OGS5,72,30,flake,808,157,84,54,88.9,85.5,56.52,43.23,50,47.99,7,45506.2,68.39,2.3,1.3,1.25,0.83,0.63,0.73,0.7,2,Pick,2025.45,2.06,1.71,1.18,53.3,5.46,0.02,561130.37,53.3,Acheulean,1.87,2.91,28801.39,0.02,2,flake,Flaked,
OGS5,OGS5,76,75,flake,492,134,81.86,54.29,64.81,81.86,56.59,38.75,54,32.45,12,33690.16,59.79,2.24,1.08,1.37,0.95,0.65,0.9,0.54,2,Pick,1792.91,1.67,1.52,1.74,47.76,9.59,0.04,387728.61,47.76,Acheulean,1.64,2.47,21322.89,0.06,2,cobble,Flaked,
OGS5,OGS5,75,0,flake,396,130.3,99.4,34.4,88.8,92,44,31,27.2,22.6,0,30293.65,50.96,2.56,1.74,1.81,0.86,0.61,0.53,0.44,2,Large Flake,#NULL!,2.86,3.38,1.95,#NULL!,#NULL!,0,268726.55,#NULL!,Acheulean,1.31,3.79,19173.2,0,2,flake,Unmodified,
OGS5,OGS5,77,80,cobble,1120,142.65,95.76,77.6,92.71,65.16,30.24,70.7,73,55.97,10,45125.01,69.11,2.06,1.34,0.94,0.44,1.02,1.06,0.81,2,Pick,3705.48,1.31,0.89,0.54,74.17,10.73,0.02,612147.84,74.17,Acheulean,1.49,1.84,28560.13,0.04,2,cobble,Flaked,
OGS5,OGS5,78,40,flake,418,123.7,105.4,46,102.6,95.3,62.5,35.3,44.4,30,5,36017.69,62.08,1.99,1.65,1.54,1.01,0.57,0.72,0.48,2,Handaxe,2662.22,2.91,2.15,2.08,58.4,4.7,0.01,397110.77,58.4,Acheulean,1.17,2.69,22796.01,0.02,2,flake,Flaked,
OGS5,OGS5,8,100,indet,1170,179,92,90,46.8,84,44.92,50.26,96.4,50.67,18,49145.56,69.41,2.58,0.67,1.21,0.65,0.72,1.39,0.73,2,Pick,3124.34,0.93,0.87,0.89,70.32,18.24,0.04,751716.81,70.32,Acheulean,1.95,1.99,31104.79,0.06,2,cobble,Flaked,
OGS5,OGS5,80,0,flake,276,114.5,91.7,31.9,67.6,89.9,60.1,19.3,25.2,31.9,0,25663.87,48.69,2.35,1.39,1.85,1.23,0.4,0.52,0.66,2,Large Flake,#NULL!,3.5,3.57,1.88,#NULL!,0,0,207339.52,#NULL!,Acheulean,1.25,3.59,16242.96,0,2,flake,Unmodified,
OGS5,OGS5,81,10,flake,1250,172.85,115.75,70,108.08,122.16,83.49,66.5,40,25.6,8,60699.14,74.7,2.31,1.45,1.64,1.12,0.89,0.54,0.34,2,Handaxe,1409.77,1.63,3.05,3.26,42,4.5,0.01,810606.2,42,Acheulean,1.49,2.47,38417.18,0.02,2,flake,Flaked,
OGS5,OGS5,2015-1,0,flake,630,154.83,95.89,61.47,71,95.88,58.37,25,44,50,0,40226.99,61.65,2.51,1.15,1.56,0.95,0.41,0.71,0.81,2,Large Flake,#NULL!,2.84,2.18,1.17,#NULL!,0,0,455360.08,#NULL!,Acheulean,1.61,2.52,25460.12,0,2,flake,Unmodified,
OGS5,OGS5,2015-2,20,flake,976,165.36,110,59.62,91.95,102.1,75.81,60.75,55.83,26.24,10,53069.06,72.45,2.28,1.27,1.41,1.05,0.84,0.77,0.36,2,Handaxe,1652.65,1.51,1.83,2.89,45.83,6.33,0.02,724425.92,45.83,Acheulean,1.5,2.77,33588.01,0.03,2,flake,Flaked,
OGS5,OGS5,2015-3,40,flake,786,115.68,104,60.7,94.85,101,66,53.6,59,36.5,9,39185.42,70.25,1.65,1.35,1.44,0.94,0.76,0.84,0.52,1,Core,1789.25,1.77,1.71,1.81,50.91,6.52,0.02,513520.5,50.91,Acheulean,1.11,1.91,24800.9,0.04,1,cobble,Flaked,
OGS5,OGS5,2015-4,50,flake,512,135.66,77.93,47.85,71.99,77.32,41.4,51.69,52.4,21.09,9,33163.38,56.27,2.41,1.28,1.37,0.74,0.92,0.93,0.37,2,Pick,1815.71,1.39,1.48,1.96,45.38,7.26,0.03,387056,45.38,Acheulean,1.74,2.84,20989.48,0.04,2,cobble,Flaked,
BSN17B,BSN17,2012-2,80,cobble,58,47,43,35,36.98,38.47,32.64,28.29,30.15,26.5,12,7959.4,33.7,1.39,1.1,1.14,0.97,0.84,0.89,0.79,1,Core,471.47,1.31,1.28,1.23,26.18,9.32,0.15,47631.13,26.18,Acheulean,1.09,1.34,5037.59,0.24,1,cobble,Flaked,
BSN17C,BSN17,2013-1,30,cobble,480,128,87,46,82.6,54.82,27.39,45,46,25.96,8,28472.42,50.63,2.53,1.63,1.08,0.54,0.89,0.91,0.51,2,Pick,984.92,1.84,1.19,1.06,30.63,4.84,0.03,293558.05,30.63,Acheulean,1.47,2.78,18020.52,0.04,2,flake,Flaked,
BSN17C,BSN17,2013-3,60,cobble,170,85,48.98,42.66,42.46,48.98,35.41,42.66,38.06,26.56,6,16019.2,42.96,1.98,0.99,1.14,0.82,0.99,0.89,0.62,1,Core,1203.96,1,1.29,1.33,39.87,5.57,0.04,129479.14,39.87,Acheulean,1.74,1.99,10138.73,0.06,1,cobble,Flaked,
BSN17C,BSN17,2013-6,0,flake,366,107.2,81,45.7,84,62.8,47.6,40,37.5,28.2,0,26149.47,52.76,2.03,1.59,1.19,0.9,0.76,0.71,0.53,2,Large Flake,#NULL!,2.1,1.67,1.69,#NULL!,0,0,249659.75,#NULL!,Acheulean,1.32,2.35,16550.3,0,2,flake,Unmodified,
BSN17C,BSN17,2015-1,0,flake,298,109,88.8,35.6,78.6,87.1,68.2,20.5,31.2,35,0,27295.23,52.77,2.07,1.49,1.65,1.29,0.39,0.59,0.66,2,Large Flake,#NULL!,3.83,2.79,1.95,#NULL!,0,0,241568.05,#NULL!,Acheulean,1.23,3.06,17275.46,0,2,flake,Unmodified,
BSN17C,BSN17,2015-2,20,flake,304,92.8,73.8,44.4,72.3,63.1,49.3,39.6,42.5,25.2,7,22170.51,50.9,1.82,1.42,1.24,0.97,0.78,0.83,0.5,2,Knife,981.13,1.83,1.48,1.96,36.73,5.05,0.03,207850.91,36.73,Acheulean,1.26,2.09,14031.97,0.05,1,flake,Flaked,
BSN17C,BSN17,2015-3,25,flake,754,135.5,94,57.3,83,92.2,69.3,42.6,59,31.2,5,39780.73,66.31,2.04,1.25,1.39,1.05,0.64,0.89,0.47,2,Pick,1815.1,1.95,1.56,2.22,48.3,3.64,0.01,498024.94,48.3,Acheulean,1.44,2.36,25177.68,0.02,2,flake,Flaked,
BSN17C,BSN17,201,0,flake,278,125,75.1,34.5,75.3,68.7,62.2,22,28.3,33,0,27834.2,50.4,2.48,1.49,1.36,1.23,0.44,0.56,0.65,2,Large Flake,#NULL!,3.42,2.43,1.88,#NULL!,0,0,233203.16,#NULL!,Acheulean,1.66,3.62,17616.58,0,2,flake,Unmodified,
BSN17C,BSN17,212,35,cobble,312,73.5,66.1,51.7,65.5,55.6,53.2,47,50.5,47.3,4,21230.76,55.39,1.33,1.18,1,0.96,0.85,0.91,0.85,1,Core,1402.85,1.39,1.1,1.12,50.43,3.64,0.02,203806.52,50.43,Acheulean,1.11,1.42,13437.19,0.03,1,cobble,Flaked,
BSN17C,BSN17,231,50,cobble,480,101,90,63,68.15,75.23,41.79,50.37,58.29,46.03,9,28240.22,60.38,1.67,1.13,1.25,0.69,0.83,0.97,0.76,1,Core,1674.46,1.35,1.29,0.91,57.7,8.6,0.03,324683.06,57.7,Acheulean,1.12,1.6,17873.55,0.05,1,cobble,Flaked,
BSN17C,BSN17,235,40,cobble,198,67.8,53.6,49.7,48.4,52.9,40.3,39,47.3,45.6,4,16087.48,48.02,1.41,1.01,1.1,0.84,0.81,0.99,0.95,1,Core,1025.93,1.24,1.12,0.88,39.93,3.33,0.02,139332.97,39.93,Acheulean,1.26,1.36,10181.95,0.04,1,cobble,Flaked,
BSN17C,BSN17,28,60,cobble,494,90,78,78,63.61,78,62.15,53.2,70.67,59.61,11,30323.21,67.25,1.34,0.95,1.16,0.92,0.79,1.05,0.89,1,Core,1656.93,1.2,1.1,1.04,56.92,9.31,0.04,374251.88,56.92,Acheulean,1.15,1.15,19191.91,0.06,1,cobble,Flaked,
BSN17C,BSN17,29,70,cobble,520,113,80.49,62,72.5,74.78,56.62,52.13,63.6,47.55,12,34132.6,66.02,1.71,1.1,1.13,0.86,0.79,0.96,0.72,2,Pick,#NULL!,1.39,1.18,1.19,#NULL!,#NULL!,0.04,418681.46,#NULL!,Acheulean,1.4,1.82,21602.91,0.06,1,cobble,Flaked,BROKEN PICK
BSN17C,BSN17,36,65,cobble,228,103,58,47,57.64,51.18,30.81,39.2,43.6,24.55,15,19975.17,45.32,2.27,1.27,1.13,0.68,0.86,0.96,0.54,2,Pick,783.42,1.47,1.17,1.25,32.13,10.63,0.08,178356.46,32.13,Acheulean,1.78,2.19,12642.51,0.12,1,cobble,Flaked,
BSN17,BSN17,2012-1,80,cobble,554,128,80,78,79.98,64.16,35.89,77.58,63.49,41.43,16,38627.66,64.83,1.97,1.23,0.99,0.55,1.2,0.98,0.64,2,Pick,1508.8,1.03,1.01,0.87,44.78,11.05,0.04,496965.83,44.78,Acheulean,1.6,1.64,24447.89,0.07,1,cobble,Flaked,
BSN17,BSN17,2014-12,65,cobble,580,101,88,73.6,84.43,83.33,50.43,72.64,73.6,44.82,11,35949.43,70.42,1.43,1.2,1.18,0.72,1.03,1.05,0.64,1,Core,1422.22,1.16,1.13,1.13,37.23,5.82,0.03,484163.44,37.23,Acheulean,1.15,1.37,22752.81,0.05,1,cobble,Flaked,
BSN17,BSN17,21,30,cobble,682,159,79,78.67,55.7,73.31,43.92,74.64,43.46,22.3,7,38349.84,57.44,2.77,0.97,1.28,0.76,1.3,0.76,0.39,2,Pick,1686.65,0.75,1.69,1.97,46.26,5.64,0.02,436703.43,46.26,Acheulean,2.01,2.02,24272.05,0.03,2,flake,Flaked,
BSN17,BSN17,24,60,cobble,854,181,79.5,64,77,61.87,29.37,63,61,35.88,13,45497.94,61.93,2.92,1.24,1,0.47,1.02,0.99,0.58,2,Pick,1878.01,1.22,1.01,0.82,50.26,10.55,0.03,578118.64,50.26,Acheulean,2.28,2.83,28796.17,0.05,2,cobble,Flaked,
BSN17,BSN17,25,25,cobble,866,131,93,68,81.11,92.97,76.94,53.86,65.16,45.13,6,44099.07,73.9,1.77,1.1,1.26,1.04,0.73,0.88,0.61,1,Core,1778.11,1.51,1.43,1.7,52.47,4.26,0.01,600845.64,52.47,Acheulean,1.41,1.93,27910.8,0.02,1,cobble,Flaked,
BSN17,BSN17,26,0,flake,402,121.8,96.7,40.5,86.5,98,59.2,30,39.7,38.7,0,33476.56,60.05,2.03,1.44,1.63,0.99,0.5,0.66,0.64,2,Large Flake,#NULL!,2.88,2.47,1.53,#NULL!,0,0,352768.27,#NULL!,Acheulean,1.26,3.01,21187.7,0,2,flake,Unmodified,
BSN17,BSN17,32,66,cobble,1000,156,88,80,62.49,88,50.38,46.55,78.04,39.53,6,42859.39,67.23,2.32,0.93,1.31,0.75,0.69,1.16,0.59,2,Pick,#NULL!,1.34,1.13,1.27,#NULL!,#NULL!,0.01,605814.11,#NULL!,Acheulean,1.77,1.95,27126.2,0.02,2,cobble,Flaked,BROKEN PICK
BSN17,BSN17,34,35,cobble,688,141,81,56,75.5,61.62,40.75,54.17,56,30.08,10,35218.88,58.83,2.4,1.28,1.05,0.69,0.92,0.95,0.51,2,Pick,1034.91,1.39,1.1,1.35,40.68,6.91,0.03,407896.64,40.68,Acheulean,1.74,2.52,22290.43,0.04,2,cobble,Flaked,
BSN17C,BSN17,35,40,cobble,498,117,84,55,85.11,76.64,34.13,53.24,53.07,34.42,9,31961.59,59.15,1.98,1.44,1.3,0.58,0.9,0.9,0.58,2,Handaxe,1336.18,1.6,1.44,0.99,46.39,7.06,0.03,377346.95,46.39,Acheulean,1.39,2.13,20228.86,0.04,1,cobble,Flaked,
BSN17,BSN17,37,0,flake,410,130,76.5,36,71.5,75.5,59.3,37,34,27,0,30619.27,54.42,2.39,1.31,1.39,1.09,0.68,0.62,0.5,2,Large Flake,#NULL!,1.93,2.22,2.2,#NULL!,0,0,292303.44,#NULL!,Acheulean,1.7,3.61,19379.28,0,2,flake,Unmodified,
BSN17,BSN17,38,10,cobble,316,91,79,50,71.39,70.81,46.22,48.52,37.67,20.95,5,22362.79,50.3,1.81,1.42,1.41,0.92,0.96,0.75,0.42,1,Core,#NULL!,1.47,1.88,2.21,#NULL!,#NULL!,0.02,213199.92,#NULL!,Acheulean,1.15,1.82,14153.67,0.04,1,flake,Flaked,
BSN17,BSN17,510,50,cobble,246,104,54,53,57.72,49.76,42.82,31.52,35.68,44.31,7,21868.85,48.57,2.14,1.19,1.02,0.88,0.65,0.73,0.91,2,Pick,#NULL!,1.83,1.39,0.97,#NULL!,#NULL!,0.03,188489.74,#NULL!,Acheulean,1.93,1.96,13841.04,0.05,1,cobble,Flaked,BROKEN
OGS7,OGS7,523,60,cobble,82,63,40,36,35.1,37.2,32,35.7,27.2,23.7,4,10029.27,34.7,1.82,1.01,1.07,0.92,1.03,0.78,0.68,1,Oldowan,1205.2,0.98,1.37,1.35,49.28,5.68,0.04,62854.61,49.28,Oldowan,1.58,1.75,6347.64,0.06,1,cobble,Flaked,
OGS7,OGS7,355,55,cobble,42,45,33,29,32,28.8,24.4,23.2,28.7,23.5,6,6133.8,28.65,1.57,1.12,1.01,0.85,0.81,1,0.82,1,Oldowan,428.21,1.38,1,1.04,25.43,5.33,0.1,31814.05,25.43,Oldowan,1.36,1.55,3882.15,0.15,1,cobble,Flaked,
OGS7,OGS7,334,50,cobble,70,64,40,28,41,38.5,36.7,19.6,25.1,22,6,9414.73,32.72,1.96,1.25,1.18,1.12,0.6,0.77,0.67,1,Oldowan,725.27,2.09,1.53,1.67,36.07,6.61,0.06,54433.63,36.07,Oldowan,1.6,2.29,5958.69,0.1,1,cobble,Flaked,
OGS7,OGS7,437,45,flake,54,67,40,22,33.6,38.6,20,10.2,20.8,19.5,5,7106.65,25.59,2.62,1.31,1.51,0.78,0.4,0.81,0.76,1,Oldowan,362.49,3.29,1.86,1.03,25.58,5,0.07,33952.12,25.58,Oldowan,1.68,3.05,4497.88,0.11,2,flake,Flaked,
OGS7,OGS7,486,70,indet,72,70,43,36,34.9,40.8,24.9,19.4,29.2,22.7,8,9264.29,31.66,2.21,1.1,1.29,0.79,0.61,0.92,0.72,1,Oldowan,852.94,1.8,1.4,1.1,36.06,9.11,0.09,56217.32,36.06,Oldowan,1.63,1.94,5863.47,0.14,1,cobble,Flaked,
OGS7,OGS7,335,75,cobble,142,67,60,38.6,50,56.9,26.2,31,39.5,23.5,6,12309.5,39.26,1.71,1.27,1.45,0.67,0.79,1.01,0.6,1,Oldowan,1674.48,1.61,1.44,1.11,52.83,8.07,0.05,97576.96,52.83,Oldowan,1.12,1.74,7790.82,0.08,1,cobble,Flaked,
OGS7,OGS7,485,70,cobble,84,62,51,41,47.3,36.4,21.4,30.6,34.6,24.7,8,10035.96,34.63,1.79,1.37,1.05,0.62,0.88,1,0.71,1,Oldowan,885.79,1.55,1.05,0.87,39.58,9.14,0.08,66196.28,39.58,Oldowan,1.22,1.51,6351.87,0.13,1,cobble,Flaked,
OGS7,OGS7,2006,35,flake,25,42,34,16,29.8,31.3,27.1,13.9,15.2,13.1,5,4420.43,22.52,1.86,1.32,1.39,1.2,0.62,0.67,0.58,1,Oldowan,72.04,2.14,2.06,2.07,4.23,2.26,0.27,17255.56,4.23,Oldowan,1.24,2.63,2797.74,0.18,1,flake,Flaked,
OGS7,OGS7,2016,75,flake,154,73,49,46,41.3,41.6,28.3,14.7,25,14.2,10,9043.84,29.3,2.49,1.41,1.42,0.97,0.5,0.85,0.48,1,Oldowan,166.58,2.81,1.66,1.99,12.1,4.13,0.11,49359.69,12.1,Oldowan,1.49,1.59,5723.95,0.17,2,flake,Flaked,protopick
OGS7,OGS7,2066,95,cobble,34,44,33,27,29.8,28.3,19.4,25.2,25.4,19.6,8,5463.73,26.44,1.66,1.13,1.07,0.73,0.95,0.96,0.74,1,Oldowan,303.66,1.18,1.11,0.99,18.34,10.4,0.27,26862.29,18.34,Oldowan,1.33,1.63,3458.06,0.23,1,cobble,Flaked,
