Site,Locality,Catalog,FAI,Base,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,Mean_Scar_Length,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Contexts,Flaked,SABox,FAC1_1,FAC2_1,cSDI
OGS12,OGS12,        13,40,flake,998,183,95,64,85.01,95.68,67.43,62.15,61.79,40.34,13,51.0692307692308,76.6526610577079,2.38739265506032,1.10902868637529,1.24822802861296,.879682441151461,.810800292415294,.806103782274192,.526270053033515,2,Pick,Acheulean,Flaked,70354,.311809023732831,-.885241686862414,.036955965545669
OGS12,OGS12,        15,90,cobble,480,133,84,63,78.99,77.8,48.14,34,63,21.38,14,57.7357142857143,56.3403466804383,2.3606528506893,1.40201480207479,1.38089317130547,.854449836332202,.603475164837866,1.11820398190546,.379479383065693,2,Handaxe,Acheulean,Flaked,49686,.523036231257849,-.594060426690907,.0563539025077487
OGS12,OGS12,        16,60,cobble,586,135,84,42,69.93,83.62,64.42,43.65,41.35,21.59,11,49.9636363636364,57.1110419368297,2.36381609267999,1.22445673600824,1.46416519755482,1.12797801992922,.764300536633198,.724028114313465,.378035477340452,2,Handaxe,Acheulean,Flaked,41076,.758095657854997,.092901610702556,.0535592560132437
OGS12,OGS12,        17,10,flake,618,167.3,107.59,53,91.75,96.79,55.15,43.49,45.29,23.94,4,53.3125,62.8263725086807,2.66289447121723,1.46037398526109,1.54059507393375,.877816079423971,.692225227455095,.720875616266757,.381050171195102,2,Knife,Acheulean,Flaked,65137.954,1.35868847671648,-.580691819805211,.0122816261622218
OGS12,OGS12,        22,80,cobble,1016,159,110,75,89.15,97.95,64.39,53.76,71.97,40.7,11,75.1409090909091,75.57249961004,2.10393993609385,1.17966192014319,1.29610639459366,.852029512484798,.711369880279278,.952330548431914,.538555694333457,2,Pick,Acheulean,Flaked,75330,-.146223254781552,-.329165952493207,.0292048320722156
OGS12,OGS12,        55,25,flake,618,125,123,45,78.93,86.23,77.4,34.12,44.3,26.14,6,34.4466666666667,59.3758678819772,2.10523238579797,1.32932793768827,1.45227350901887,1.3035598932861,.574644232027414,.7460943575268,.440246196518071,2,Knife,Acheulean,Flaked,53070,.494480082622603,1.12584901489546,.0226116449971735
OGS12,OGS12,        57,25,flake,640,145,113,51,81.71,111.07,61.96,36.27,49.55,30.73,4,71.46,64.2160510880054,2.25800243931667,1.27242330563148,1.72962986851657,.964867800965936,.564812058441487,.771613937021661,.478540792828974,2,Handaxe,Acheulean,Flaked,59086,.717505252356788,.564788528253107,.0135395863656365
OGS12,OGS12,        58,25,flake,562,137,82,48,68.84,82.18,48.75,38.24,45.53,30.39,5,57.95,57.1826213078482,2.39583280490845,1.20386226488977,1.43714992633122,.852531746272169,.668734645691236,.796220931441474,.531455174753051,2,Knife,Acheulean,Flaked,43492,.562839613518679,-.469172340505126,.0229927342959625
OGS12,OGS12,        59,5,flake,854,170,116.84,37,106.52,116.84,92.31,33.93,35.97,22.14,8,34.7,65.6884325518024,2.58797467675814,1.62159448569575,1.77869977195542,1.40527024947967,.516529298720022,.54758499484112,.337045643196619,2,Knife,Acheulean,Flaked,60951.76,1.94003247568981,1.28712286432636,.0262502674245994
OGS12,OGS12,        60,40,flake,438,128,78,47,63.17,72.29,42.59,36.9,46.3,27,6,59.4,52.8284978356799,2.42293468949537,1.19575612762049,1.36839022424703,.806193659575061,.698486640956087,.876420907215903,.51108778606543,2,Handaxe,Acheulean,Flaked,39332,.489574544245001,-.810717602740139,.0305095087969084
