Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one,Note
OGS12,66, ,85,654,683,24150.64,flake,pick,Multifacial,772,151,74,63,74.37,69.7,40.36,62.42,74.13,40,12,42595.22873,0.566979935,66.65735245,2.265316495,1.115705879,1.045646091,0.605484594,0.936430832,1.112105376,0.60008384,2,Pick,Pick,0.449820291,2012.553333,0.047248328,Pick,-0.367204783,-1.904626932,Not Selected,0.581746843, 
OGS12,70, ,70,747.9,858.2,34811.34,flake,pick,Multifacial,1018,166,100.28,83,100.28,86,64.92,75.76,74,46.11,9,60066.42067,0.579547435,81.56873751,2.035093408,1.229392572,1.0543255,0.795893157,0.928787208,0.907210314,0.565290103,2,Pick,Pick,0.175610756,3867.926667,0.064394159,Pick,-0.477722204,-0.845186289,Not Selected,0.397651771, 
OGS12,74,1,80,792,836.2,31846.08,cobble,pick,Multifacial,896,150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,15,44418.7182,0.716951801,66.95385478,2.240348976,1.297610127,1.101803626,0.658513242,1.047736538,0.861190146,0.525436513,2,Pick,Pick,0.528525237,2123.072,0.047796787,Pick,-0.120476569,-1.443246833,Not Selected,0.641172054, 
OGS12,75, ,0, ,0,0,flake,Flake, ,398,130.9,77.5,37.7,75,76.1,33.1,25.7,34.8,36.6,0,27687.07333,0,50.25420771,2.604757014,1.492412345,1.51430106,0.658651315,0.511399964,0.692479328,0.728297225,2,Large Flake,Large Flake,0, , ,Flake,1.093718884,-0.648630477,Selected,0, 
OGS12,76, ,100, ,472.9,12122.01,cobble,Core,Multifacial,120,60,51.3,43.5,43,50.8,39.6,30,43,35.6,14,12379.76,0.979179726,42.20043248,1.421786377,1.018946903,1.203779132,0.938379009,0.710893188,1.018946903,0.84359325,1,Core,Core,1.05341581,865.8578571,0.069941409,Core,-1.60635891,0.736554351,Not Selected,1.09021506, 
OGS12,78, ,25, ,352.69,18231.36,flake,Flake,Unidirectional,1018,151.9,145.61,58.91,123,110,63.36,53.6,58.7,48.3,5,55927.904,0.325979676,79.33935767,1.914560496,1.550302443,1.386449339,0.798594819,0.675578951,0.739859784,0.608777301,2,Retouched Flake/Knife,Oldowan,-0.048658539,3646.272,0.065195935,Flake,-0.108781191,0.492426088,Selected,0.277381835, 
OGS12,79, ,80, ,384,37344.8422,cobble,pick,Multifacial,874,145.17,115.53,71.84,100.39,74.15,37.25,55.59,71.75,65.91,9,47235.5988,0.790607998,72.55269048,2.00089065,1.383684042,1.022015855,0.513419968,0.766201772,0.988936448,0.908443223,2,Pick,Pick,0.279973084,4149.426911,0.087845333,Pick,-0.771139912,-1.148766171,Not Selected,0.463197356, 
OGS12,86, ,0, ,0,0,flake,Flake, ,342,123.5,90.5,38.5,65.1,89.2,56.8,30.5,37,18.6,0,27511.49667,0,50.64865875,2.438366643,1.285325251,1.761152263,1.121451217,0.602187713,0.7305228,0.367235786,2,Large Flake,Retouched Flake/Knife,0, , ,Flake,1.220490021,0.58313941,Selected,0, 
OGS12,102,1,65,383,399.9,10898.54,flake,pick,Bifacial,412,129,81,46,67.55,79.85,51.46,28.58,43.38,36.07,10,30179.2812,0.36112656,55.39798321,2.328604626,1.219358469,1.441388212,0.928914683,0.515903258,0.783060998,0.651106735,2,Pick,Large Flake,0.520291108,1089.854,0.036112656,Pick,0.535491582,-0.023279169,Not Selected,0.634832978, 
OGS12,104, ,50, ,354.48,25063.9656,cobble,Core,Multifacial,892,117.43,107.41,77,103,105,53.17,59,73,52,4,43692.7154,0.573641747,76.3496778,1.538054952,1.349056119,1.375251383,0.696401105,0.772760301,0.956127152,0.681076876,1,Core,Oldowan,-0.038349045,6265.9914,0.143410437,Core,-1.115644347,0.528705024,Not Selected,0.282278623, 
OGS12,109, ,30,214,214,6846.5,flake,Flake,Bifacial,250,100,70.2,36,59.58,70.2,55.46,34.51,31.19,19.59,11,21177.90053,0.323285115,46.76447199,2.138375475,1.274044108,1.501139583,1.185943038,0.737953376,0.666959311,0.418907756,2,Retouched Flake/Knife,Retouched Flake/Knife,0.715509781,622.4090909,0.029389556,Flake,0.496230016,0.784995038,Selected,0.791977772, 
OGS12,110,1,40,396.2,376.21,14622.97,flake,Flake,Unidirectional,436,119,93,46,93.24,83.59,52.3,45.31,31.4,18.54,7,30928.49307,0.472799304,53.65089291,2.218043234,1.73790211,1.558035579,0.974820682,0.84453394,0.585265189,0.345567408,2,Retouched Flake/Knife,Retouched Flake/Knife,0.35473928,2088.995714,0.067542758,Flake,0.873765634,0.595177804,Selected,0.513655029, 
OGS12,112, ,20,198.4,167.1,7661.88,cobble,Core,Unifacial simple,1374,132,108,95,103.83,103.5,78.76,88.86,94.53,84.92,4,64701.833,0.118418283,96.8095941,1.363501223,1.072517667,1.069108914,0.81355573,0.917884233,0.976452808,0.877185787,1,Core,Core,-0.208856593,1915.47,0.029604571,Core,-1.90995029,0.274027911,Not Selected,0.2090377, 
