Note,Site,Catalog,Scan,Coverage,Old_Scar_Length,New_Scar_Length,Total_Scar_Area,Base,Type,Technology,Weight,L,Br,T,Br1,Br2,Br3,T1,T2,T3,ScarCnt,SA_fitted,Calc_cover,GM,GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Mode,Typology,Dis_1,logSDI,Average_scar_area,Average_scar_area_relative,Collapsed_Types,FAC1_1,FAC2_1,filter_$,logSDI_plus_one
 ,OGS5,29, ,60, ,252.86,14396.358,cobble,Core, ,538,99.48,98.31,53,86.38,80,52.68,50,51,53.24,3,31880.9392,.45156630768268,65.0271481860847,1.52982258602705,1.32836826478705,1.23025539688544,.810123178849062,.7689096230534,.784287815514468,.818734966627261,1,Core,Oldowan,-.026409852338453,4798.786,.150522102560893,Core,-1.1772853000041,.705449880529799,Not Selected,.28802578953809
 ,OGS5,31, ,0, ,0,0,flake,Flake, ,466,134,87.67,46.8,82,74.35,75,17.6,30.96,41.11,0,33204.2366666667,0,54.1915673390324,2.472709437645,1.5131505513947,1.37198467678288,1.38397916286101,.324773776884717,.571306598429024,.758605111802881,2,Large Flake,Large Flake,0, , ,Flake,1.23360546713515,1.05634614852838,Selected,0
 ,OGS5,32, ,0, ,0,0,flake,Flake, ,330,111.11,92,37.39,83,85.56,62.68,16.65,34.65,37.18,0,27395.1185333333,0,52.2337400877716,2.12716914035439,1.58901123795711,1.63802170505555,1.19999065536327,.318759483276939,.663364330062818,.711800455749945,2,Large Flake,Large Flake,0, , ,Flake,.763098346530554,1.68817793949982,Selected,0
 ,OGS5,33, ,0, ,0,0,flake,Flake, ,428,121.75,95.17,49.17,74.73,92,74,30,46.86,39.3,0,34117.6716666667,0,61.7467675181445,1.97176313665688,1.21026578400303,1.48995653858261,1.19844330277297,.48585539301607,.758906123891101,.636470564851051,2,Large Flake,Retouched Flake/Knife,0, , ,Flake,.10664607340634,1.23891043023539,Selected,0
 ,OGS5,34, ,40, ,173.53,6856.6822,cobble,Core,Bifacial,308,87.16,75.5,58.52,60.3,74.41,40.29,40.97,53.94,48.04,3,22881.0372666667,.299666580675033,55.7450288230982,1.56354749185967,1.08171080494651,1.33482754554013,.722755030369734,.734953427506776,.967619914076531,.861780880093374,1,Core,Core,.11764554626919,2285.56073333333,.099888860225011,Core,-1.32982166101454,.332877837158562,Not Selected,.363824256838977
 ,OGS5,35, ,60, ,280.22,9161.1185,cobble,Core, ,306,93,77.54,49.69,67,76,62,46,48,34,7,25836,.35458733937142,57.9855986984488,1.6038465082277,1.1554593123791,1.31067026478823,1.06923100548514,.793300423424456,.827791746182041,.586352486878946,1,Core,Oldowan,.432872764143145,1308.73121428571,.0506553341959171,Core,-.87358476822367,.979653297042625,Not Selected,.569303402982761
core/protobiface?,OGS5,36, ,100,876.07,981.2,49145.64,indet,handaxe,Bifacial,860,150,85,70,81.25,85.04,75.06,41,64.56,65.39,13,49469.4234,.993454878230903,75.0932216071401,1.99751717651354,1.0819884706115,1.13245907127141,.999557595127375,.545988028247034,.859731392771427,.870784321148136,2,Handaxe/Cleaver,Oldowan,.419606503912691,3780.43384615385,.0764196060177618,Handaxe,-.467415582283936,.0761473799029329,Not Selected,.559653619117415
 ,OGS5,37, ,0, ,0,0,flake,Flake, ,1236,160,129,58,100,126.7,87.7,58,53,32,0,57395.7333333333,0,77.9509537385489,2.05257270535326,1.28285794084579,1.62538101105161,1.12506641412175,.744057605690556,.679914708648266,.410514541070651,2,Large Flake,Retouched Flake/Knife,0, , ,Flake,.406906062062169,.991500153826211,Selected,0
 ,OGS5,30+25, ,0, ,0,0,flake,Flake, ,1572,196,120,54.4,113.65,117,91,47,47,22,0,64529.8166666667,0,73.4434421446036,2.66872023255791,1.54744925729697,1.59306258780243,1.23904867940189,.639948219031744,.639948219031744,.299550230185072,2,Large Flake,Retouched Flake/Knife,0, , ,Flake,1.76963538626754,.358303098448479,Selected,0
 ,OGS5,40, ,0, ,0,0,flake,Flake, ,904,160,105.6,61.34,72,101.36,65,56.74,59.3,25,0,46179.6133333333,0,67.4997793260976,2.37037811971244,1.0666701538706,1.50163453883783,.96296611113318,.840595340703025,.878521390618424,.370371581205069,2,Large Flake,Handaxe/Cleaver,0, , ,Flake,.553479109658753,-.495044678816193,Selected,0
