GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Site,Locality,Catalog,FAI,Base,Weight,L.x,Br,T,Br1.x,Br2.x,Br3.x,T1.x,T2.x,T3.x,ScarCnt,SA_fitted,GM,Mode,Typology,Average_scar_area,BaseRefinement,MidRefinement,TipRefinement,AvgScarLength,GM_Scar_length,SDI.x,Volume_fitted,Avg_Scar_length,Contexts,LbyBr.x,LbyT.x,SA_Corrected,cSDI,Dis_1,Dis_2,Flaked.x,PC1,PC2,Note,Name,Type,L.y,Br1.y,Br2.y,Br3.y,T1.y,T2.y,T3.y,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,Lengthofthehighertouchpointofwidth,Lengthofthehighertouchpointofthickness,widthathalflength,thicknessathalf,widthatonefifth,thicknessatonefifth,widthatfourfifth,thicknessatfourfifth,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI.y,Cortex,Ventral,Flaked.y,SurfaceAreaCallipers,FlakedVisual,FlakedCallipers,FAC1_1,ScarcountDS,PC1_Final,PC2_Final,FAC1_2,FAC2_2,FAC3_2,FAC4_2,LbyBr2,LbyT2,Br1byBr3,T1byT3,LbyBr.y,LbyT.y,SDILinearEst,SAcalipersCorrected,SDILinearCorrected,TDFlaked_VisualFlaked,PC11,PC22
2,1.38,1.02,0.51,0.77,0.99,0.91,OGS12,OGS12,79,80,cobble,874,145.17,115.53,71.84,100.39,74.15,37.25,55.59,71.75,65.91,9,47235.6,72.55,2,Pick,4149.43,1.81,1.03,0.57,42.67,5.29,0.02,639838.19,42.67,Acheulean,1.26,2.02,29895.95,0.03,2,cobble,Flaked,-0.80169,-1.09494,NA,OGS12-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.382926092,-0.33054655
2.44,1.29,1.76,1.12,0.6,0.73,0.37,OGS12,OGS12,86,0,flake,342,123.5,90.5,38.5,65.1,89.2,56.8,30.5,37,18.6,0,27511.5,50.65,2,Large Flake,#NULL!,2.13,2.41,3.05,#NULL!,0,0,258485.73,#NULL!,Acheulean,1.36,3.21,17412.34,0,2,flake,Unmodified,1.18856,0.56659,NA,OGS12-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.552028541,0.167596598
2.33,1.22,1.44,0.93,0.52,0.78,0.65,OGS12,OGS12,102,65,flake,412,129,81,46,67.55,79.85,51.46,28.58,43.38,36.07,10,30179.28,55.4,2,Pick,1089.85,2.36,1.84,1.43,39.99,7.22,0.03,308659.5,39.99,Acheulean,1.59,2.8,19100.81,0.05,2,cobble,Flaked,0.50305,-0.01306,NA,OGS12-102,Pick,129,67.55,79.85,51.46,28.58,43.38,36.07,2.328604626,1.219358469,1.441388212,0.928914683,0.515903258,0.783060998,0.651106735,166400.1858,128.5929583,79.09428987,47.63256998,65.73984061,83.73134218,78.06728729,47.36250409,63.95026615,30.11246972,37.13323754,27.65341341,1.1154,0.3545,-0.2979,-0.0963,-0.0313,10,19171.15399,0.000521617,33.544,0,66.456,30179.2812,65,0.36112656,0.535491582,10,0.53549,-0.02328,0.585358752,0.863854827,-0.969196319,0.501351652,1.615529117,2.973720609,1.312670035,0.792348212,1.625818482,2.699685495,0.000331353,20119.5208,0.00049703,1.456,-0.232123129,-0.005688354
1.54,1.35,1.38,0.7,0.77,0.96,0.68,OGS12,OGS12,104,50,cobble,892,117.43,107.41,77,103,105,53.17,59,73,52,4,43692.72,76.35,1,Core,6265.99,1.75,1.44,1.02,88.62,4.64,0.01,639671.41,88.62,Acheulean,1.09,1.53,27653.62,0.01,1,cobble,Flaked,-1.12569,0.57052,NA,OGS12-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522345343,0.178775135
2.14,1.27,1.5,1.19,0.74,0.67,0.42,OGS12,OGS12,109,30,flake,250,100,70.2,36,59.58,70.2,55.46,34.51,31.19,19.59,11,21177.9,46.76,2,Knife,622.41,1.73,2.25,2.83,19.45,4.58,0.05,175959.47,19.45,Acheulean,1.42,2.78,13403.73,0.08,2,flake,Flaked,0.47392,0.78804,NA,OGS12-109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217759352,0.235077755
2.22,1.74,1.56,0.97,0.84,0.59,0.35,OGS12,OGS12,110,40,flake,436,119,93,46,93.24,83.59,52.3,45.31,31.4,18.54,7,30928.49,53.65,2,Knife,2089,2.06,2.66,2.82,53.74,7.01,0.02,307054.97,53.74,Acheulean,1.28,2.59,19575,0.04,2,flake,Flaked,0.848,0.59023,NA,OGS12-110,"""Retouched Flake/Knife""",119,93.24,83.59,52.3,45.31,31.4,18.54,2.218043234,1.73790211,1.558035579,0.974820682,0.84453394,0.585265189,0.345567408,159932.0859,115.0246369,91.53153617,45.81800845,38.8060288,32.93761413,87.26294946,35.00131338,89.91091954,39.53693892,45.59098824,16.29614468,0.7003,0.0061,-0.1981,0.7349,-0.6929,7,20495.82142,0.000341533,9.32,40.421,50.259,30928.49307,40,0.472799304,0.873765634,7,0.87377,0.59518,0.670988306,1.503420739,2.662589562,0.027448992,1.423615265,3.789808917,1.782791587,2.44390507,1.256666737,2.510467844,0.000226329,20618.99538,0.000339493,10.259,-0.391321184,0.173849748
1.36,1.07,1.07,0.81,0.92,0.98,0.88,OGS12,OGS12,112,20,cobble,1374,132,108,95,103.83,103.5,78.76,88.86,94.53,84.92,4,64701.83,96.81,1,Core,1915.47,1.17,1.09,0.93,41.78,1.73,0.01,1119426.14,41.78,Acheulean,1.22,1.39,40950.53,0.01,1,cobble,Flaked,-1.9163,0.34244,NA,OGS12-112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.899736186,0.107610235
2.53,0.94,1.57,0.98,0.83,0.81,0.41,OGS12,OGS12,113,30,flake,#NULL!,126,80.62,42,47,78,48.6,41.22,40.37,20.33,4,26069.06,49.8,2,Knife,1404.57,1.14,1.93,2.39,58.72,4.72,0.02,252566.82,58.72,Acheulean,1.56,3,16499.4,0.02,#NULL!,flake,Flaked,0.78602,-0.66692,NA,OGS12-113,"""Retouched Flake/Knife""",126,47,78,48.6,41.22,40.37,20.33,2.530205381,0.943806769,1.566317617,0.975936361,0.827738618,0.810669772,0.40824663,140636.2073,124.639496,80.36357334,45.21207515,52.66057175,52.45858712,77.47649034,38.21047184,58.92725525,45.1681591,46.54323355,20.74040568,1.6544,1.0272,0.4225,1.1281,0.7706,4,18001.17207,0.000222208,28.686,45.626,25.688,26069.058,30,0.215514776,0.828719195,4,0.82872,-0.6687,1.046928758,0.363457599,-0.80664448,-1.99315915,1.615384615,3.121129552,0.967078189,2.027545499,1.550945171,2.756774502,0.000153439,17379.372,0.000230158,-4.312,-0.361473275,-0.199225593
1.89,1.22,1.17,1.02,0.84,0.82,0.53,OGS12,OGS12,114,70,cobble,430,115,78,42,73.87,71.33,61.77,50.99,49.98,32.04,12,31810.88,60.76,1,Core,1570.08,1.45,1.43,1.93,41.03,8.1,0.04,353345.45,41.03,Acheulean,1.47,2.74,20133.47,0.06,1,cobble,Flaked,-0.46339,0.19041,NA,OGS12-114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220421642,0.062410914
1.93,1.32,1.58,1.07,0.75,0.71,0.43,OGS12,OGS12,115,15,flake,782,121,114,50,82.95,99.37,67.2,47.05,44.63,27.15,4,35440.84,62.73,2,Knife,2066.21,1.76,2.23,2.48,53.13,3.39,0.01,405775.07,53.13,Acheulean,1.06,2.42,22430.91,0.02,2,flake,Flaked,0.11604,1.05442,NA,OGS12-115,"""Retouched Flake/Knife""",121,82.95,99.37,67.2,47.05,44.63,27.15,1.928993227,1.322396597,1.58416576,1.071308635,0.750075466,0.711495601,0.432827819,276080.1563,144.9418023,98.64116151,51.25369966,71.98961245,65.98318668,97.48854221,45.48888255,82.99472039,50.99081888,60.22681323,20.35247411,1.1282,0.3607,0.1971,1.2627,0.4113,4,27751.14741,0.000144138,44.377,35.288,20.335,35440.84417,15,0.233201274,0.132404007,4,0.1324,1.04695,-0.142192534,1.559821268,0.874817947,-0.799730117,1.217671329,2.71118082,1.234375,1.732965009,1.469384586,2.827928584,0.000112864,23627.22944,0.000169296,5.335,-0.051908379,0.314781093
1.58,1.2,0.89,0.67,0.78,1.11,1.03,OGS12,OGS12,125,97,cobble,604,108,82,76,82,60.75,45.58,53.39,76,70.49,10,35542.03,68.41,1,Core,3073.92,1.54,0.8,0.65,64.38,9.41,0.03,435090.06,64.38,Acheulean,1.32,1.42,22494.96,0.04,1,cobble,Flaked,-1.77606,-0.46825,NA,OGS12-125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826751841,-0.132232196
1.31,1.01,1.14,0.93,0.93,0.97,0.79,OGS12,OGS12,127,5,cobble,1142,115.37,102,86.22,89,101,82,81.9,86,70,1,52247.21,88.32,1,Core,3208.22,1.09,1.17,1.17,64.19,0.73,0,826739.46,64.19,Acheulean,1.13,1.34,33067.85,0,1,cobble,Flaked,-1.898,0.70811,NA,OGS12-127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88078858,0.217192679
1.47,1.05,1.3,0.94,0.84,0.92,0.69,OGS12,OGS12,134,25,cobble,1078,118,102,73,84.4,104.7,75.6,67.15,73.75,55.49,3,46134.92,80.37,1,Core,3320.42,1.26,1.42,1.36,58.92,2.2,0.01,684725.98,58.92,Acheulean,1.16,1.62,29199.31,0.01,1,cobble,Flaked,-1.35917,0.82586,NA,OGS12-134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.634852923,0.248614372
1.87,0.97,1.07,0.89,0.76,0.96,0.79,OGS12,OGS12,135,15,cobble,454,117,67,60,60.54,66.92,55.53,47.83,59.95,49.74,2,32217.47,62.57,1,Core,2683.25,1.27,1.12,1.12,65,2.08,0.01,373341.11,65,Acheulean,1.75,1.95,20390.8,0.01,1,cobble,Flaked,-0.96607,-0.34296,NA,OGS12-135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44959026,-0.096938354
1.73,1,1.07,0.82,0.83,1.08,0.73,OGS12,OGS12,139,15,cobble,430,110,68,50,63.39,67.93,51.87,52.87,68.83,46.61,3,31545.76,63.51,1,Core,1151.42,1.2,0.99,1.11,40.33,1.91,0.01,379143.04,40.33,Acheulean,1.62,2.2,19965.67,0.02,1,cobble,Flaked,-1.2735,-0.39378,NA,OGS12-139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593878639,-0.108727314
1.89,1.12,1.37,1.09,0.35,0.93,0.97,OGS12,OGS12,144,35,cobble,502,115,86,63,68.14,83.16,66.21,21.54,56.25,58.66,5,32488.55,60.79,1,Core,2588.44,3.16,1.48,1.13,68.85,5.66,0.02,380614.37,68.85,Acheulean,1.34,1.83,20562.37,0.02,1,cobble,Flaked,-0.44673,0.96814,NA,OGS12-144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211008784,0.295256177
2.39,1.49,1.38,0.77,0.77,0.84,0.4,OGS12,OGS12,226,95,flake,742,156,106,57,96.86,90.31,50.24,50.41,55,26.4,14,44607.93,65.22,2,Handaxe,2580.74,1.92,1.64,1.9,60.09,12.9,0.03,575345.56,60.09,Acheulean,1.47,2.74,28232.87,0.05,2,cobble,Flaked,0.64546,-0.66985,NA,OGS12-226,Handaxe/Cleaver,156,96.86,90.31,50.24,50.41,55,26.4,2.392004809,1.485189652,1.384756117,0.770348215,0.772954887,0.843335029,0.404800814,265926.4603,146.8479093,97.08638495,56.98601238,63.72911316,68.87627428,88.92459266,53.4315864,93.84650044,48.18327881,47.90444418,29.96949285,1.1434,-0.0491,-0.4351,-0.048,-0.3111,14,28122.78925,0.000497817,3.88,0,96.12,44607.9286,95,0.809954475,0.683005203,14,0.68301,-0.67739,0.871196154,0.224709634,1.154508884,0.527603968,1.727383457,2.836363636,1.92794586,1.909469697,1.512548947,2.576911477,0.000313846,29738.61907,0.000470768,1.12,-0.295732012,-0.200587047
2.53,0.98,1.2,0.84,0.5,1.07,0.74,OGS12,OGS12,2012,95,flake,794,174,84,75,67.42,82.58,58.12,34.6,73.57,51.2,10,47937.32,68.86,2,Pick,4570.92,1.95,1.12,1.14,75.15,10.91,0.02,653662.77,75.15,Acheulean,2.07,2.32,30340.07,0.03,2,cobble,Flaked,0.2992,-1.27312,NA,OGS12-2012,Pick,174,67.42,82.58,58.12,34.6,73.57,51.2,2.527018909,0.979147212,1.199317365,0.844082408,0.502499162,1.068464259,0.743582576,286650.3212,172.9814853,83.33122997,73.75098051,113.2366165,91.19937374,80.87771,71.63749219,55.47582921,45.38900033,58.25417043,30.91020527,1.9119,0.4953,-0.5863,-1.3083,0.2013,10,30194.04869,0.000331191,8.761,0,91.239,47937.316,95,0.953519884,0.342966958,10,0.34297,-1.29813,0.766306506,-0.457150491,-2.594006567,0.618476574,2.107047711,2.365094468,1.160013765,0.67578125,2.075830218,2.345480481,0.000208606,31958.21067,0.000312909,-3.761,-0.137141529,-0.386314777
2.6,1.07,1.39,0.96,0.65,0.99,0.42,OGS12,OGS12,2042,65,cobble,794,158,86,60,64.74,84.12,58.27,39.54,60,25.41,10,39019.55,60.66,2,Handaxe,2921.24,1.64,1.4,2.29,65.71,10.83,0.03,473830.61,65.71,Acheulean,1.84,2.63,24695.92,0.04,2,flake,Flaked,0.82652,-0.98526,NA,OGS12-2042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.377369143,-0.293392884
2.33,1.12,1.23,0.94,1.01,0.84,0.39,OGS12,OGS12,3050,35,flake,862,154.95,82.7,72.15,74.18,81.73,62.11,66.87,55.56,26.18,10,44459.34,66.37,2,Handaxe,1793.97,1.11,1.47,2.37,57.42,8.65,0.02,568981.64,57.42,Acheulean,1.87,2.15,28138.82,0.04,2,flake,Flaked,0.22214,-0.94997,NA,OGS12-3050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.095706633,-0.282446611
2.49,1.31,1.39,0.74,0.66,1.03,0.44,OGS12,OGS12,5004,35,flake,914,160,104.78,66.39,84.34,89.51,47.58,42.58,66,28.34,8,43163.61,64.37,2,Pick,2389.9,1.98,1.36,1.68,59.44,7.39,0.02,572736.09,59.44,Acheulean,1.53,2.41,27318.74,0.03,2,flake,Flaked,0.62698,-1.05551,NA,OGS12-5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.288419057,-0.321311771
2.58,1.3,1.08,0.79,0.89,0.89,0.44,OGS12,OGS12,5005,85,cobble,1048,176,94,67,88.89,73.41,53.62,60.74,60.96,29.96,9,50135.02,68.16,2,Pick,4715.59,1.46,1.2,1.79,88.06,11.63,0.02,666799.49,88.06,Acheulean,1.87,2.63,31731.03,0.03,2,cobble,Flaked,0.56205,-1.70221,NA,OGS12-5005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.254617338,-0.507641744
2.26,1.38,1.52,1.3,0.82,0.7,0.28,OGS12,OGS12,5011,30,cobble,444,121,82,48,73.59,81.28,69.5,43.75,37.69,15.09,6,30154.25,53.48,2,Handaxe,1214.69,1.68,2.16,4.61,38.77,4.35,0.02,292757.2,38.77,Acheulean,1.48,2.52,19084.97,0.03,2,flake,Flaked,0.83054,0.73062,NA,OGS12-5011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.384635492,0.221431479
2.84,1.29,1.58,0.99,0.71,0.92,0.27,OGS12,OGS12,5017,0,flake,666,160,91.42,51.62,73,89,56,40,52,15,0,38426.67,56.4,2,Large Flake,#NULL!,1.83,1.71,3.73,#NULL!,0,0,442886.4,#NULL!,Acheulean,1.75,3.1,24320.68,0,2,flake,Unmodified,1.58947,-0.94836,NA,OGS12-5017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.734656732,-0.291771182
2.56,1.06,1.46,0.84,0.88,0.9,0.38,OGS12,OGS12,5022,80,flake,474,142,82,51,58.9,81.14,46.54,48.89,49.9,20.92,17,32848.69,55.45,2,Handaxe,1214,1.2,1.63,2.22,38.77,11.89,0.05,370293.52,38.77,Acheulean,1.73,2.78,20790.31,0.08,2,cobble,Flaked,0.71729,-1.18375,NA,OGS12-5022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.325508304,-0.357431072
2.52,1.26,1.34,0.66,0.77,0.87,0.54,OGS12,OGS12,5024,40,flake,624,151,80.58,51.1,75.84,80.58,39.6,45.99,51.91,32.13,13,37582.6,60.01,2,Handaxe,1343.22,1.65,1.55,1.23,42.48,9.2,0.03,445636.54,42.48,Acheulean,1.87,2.95,23786.45,0.05,2,flake,Flaked,0.56546,-1.30583,NA,OGS12-5024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25497694,-0.399801605
2.56,1.33,0.92,0.54,0.81,1.13,0.65,OGS12,OGS12,5025,75,cobble,738,160,83,70,83,57.38,33.82,50.62,70.76,40.86,14,41470.28,62.61,2,Pick,2074.2,1.64,0.81,0.83,54.67,12.22,0.03,509179.65,54.67,Acheulean,1.93,2.29,26247.01,0.05,2,cobble,Flaked,0.09333,-2.43905,NA,OGS12-5025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.041538562,-0.733846376
1.87,0.99,1.19,0.69,0.76,0.95,0.9,OGS12,OGS12,5026,75,cobble,1206,158,101,74,84.2,101,58.7,64.2,80.6,76.5,6,58897.26,84.68,1,Core,6656.4,1.31,1.25,0.77,92.65,6.56,0.01,940438.23,92.65,Acheulean,1.56,2.14,37276.74,0.02,2,cobble,Flaked,-1.02045,-0.48525,NA,OGS12-5026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.476907389,-0.148322077
2.52,1.21,1.46,1.19,0.56,0.75,0.45,OGS12,OGS12,5030,25,flake,728,156,94,47,75.09,90.69,73.64,34.46,46.54,27.79,8,40847.9,61.91,2,Handaxe,1228.14,2.18,1.95,2.65,46.65,6.03,0.02,455843.54,46.65,Acheulean,1.66,3.32,25853.1,0.03,2,flake,Flaked,1.07409,0.11721,NA,OGS12-5030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.494173577,0.029881675
1.46,0.87,1.05,0.97,0.97,0.99,0.82,OGS12,OGS12,5031,50,cobble,400,90,70.14,62,53.8,65,59.9,59.69,60.93,50.45,6,27219.48,61.84,1,Core,1846.08,0.9,1.07,1.19,50.74,4.92,0.02,302753.69,50.74,Acheulean,1.28,1.45,17227.52,0.03,1,cobble,Flaked,-1.80527,0.24224,NA,OGS12-5031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841621978,0.073694637
2.5,1.22,1.29,0.62,0.86,0.7,0.68,OGS12,OGS12,5033,90,cobble,1082,182.88,109.91,72.52,88.94,94.41,45.43,63.21,51,49.51,11,55724.74,73.08,2,Pick,4500.08,1.41,1.85,0.92,96.78,14.57,0.02,765607.99,96.78,Acheulean,1.66,2.52,35268.82,0.03,2,cobble,Flaked,0.42593,-1.38901,NA,OGS12-5033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.189954214,-0.416846152
2.25,1.2,1.18,0.58,0.77,0.84,0.83,OGS12,OGS12,5032,65,cobble,986,166,107,72,88.58,87.24,43.08,57.14,62.35,61.25,9,51926.94,73.92,2,Pick,3318.41,1.55,1.4,0.7,68.09,8.29,0.02,719783.19,68.09,Acheulean,1.55,2.31,32865.15,0.03,2,cobble,Flaked,-0.23437,-1.18894,NA,OGS12-5032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110213394,-0.357812926
