GM_L,GM_Br1,GM_Br2,GM_Br3,GM_T1,GM_T2,GM_T3,Site,Locality,Catalog,FAI,Base,Weight,L.x,Br,T,Br1.x,Br2.x,Br3.x,T1.x,T2.x,T3.x,ScarCnt,SA_fitted,GM,Mode,Typology,Average_scar_area,BaseRefinement,MidRefinement,TipRefinement,AvgScarLength,GM_Scar_length,SDI.x,Volume_fitted,Avg_Scar_length,Contexts,LbyBr.x,LbyT.x,SA_Corrected,cSDI,Dis_1,Dis_2,Flaked.x,PC1,PC2,Note,Name,Type,L.y,Br1.y,Br2.y,Br3.y,T1.y,T2.y,T3.y,Caliper_L_GM,Caliper_Br1_GM,Caliper_Br2_GM,Caliper_Br3_GM,Caliper_T1_GM,Caliper_T2_GM,Caliper_T3_GM,Volume,Length,Width,Thickness,Lengthofthehighertouchpointofwidth,Lengthofthehighertouchpointofthickness,widthathalflength,thicknessathalf,widthatonefifth,thicknessatonefifth,widthatfourfifth,thicknessatfourfifth,@3DGMPC110x10,@3DGMPC210x10,@3DGMPC310x10,@3DGMPC410x10,@3DGMPC510x10,ScarCount,SurfaceArea3D,SDI.y,Cortex,Ventral,Flaked.y,SurfaceAreaCallipers,FlakedVisual,FlakedCallipers,FAC1_1,ScarcountDS,PC1_Final,PC2_Final,FAC1_2,FAC2_2,FAC3_2,FAC4_2,LbyBr2,LbyT2,Br1byBr3,T1byT3,LbyBr.y,LbyT.y,SDILinearEst,SAcalipersCorrected,SDILinearCorrected,TDFlaked_VisualFlaked,PC11,PC22
2.12,1.33,1.26,0.97,0.6,0.77,0.62,OGS12,OGS12,61,0,flake,674,136.6,86.5,50.2,86,81,62.5,39,49.7,40.3,0,38520.15,64.5,2,Large Flake,#NULL!,2.21,1.63,1.55,#NULL!,0,0,446202.33,#NULL!,Acheulean,1.58,2.72,24379.84,0,2,flake,Unmodified,0.08702,0.17977,NA,OGS12-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.042319248,0.056509153
2.4,1.05,1.59,1,0.41,0.75,0.82,OGS12,OGS12,62,15,flake,644,153.62,109,58,67,101.9,63.94,26.05,48.35,52.42,3,41931.06,64.06,2,Knife,3644.9,2.57,2.11,1.22,82.83,3.88,0.01,508160.13,82.83,Acheulean,1.41,2.65,26538.65,0.01,2,flake,Flaked,0.62316,0.23251,NA,OGS12-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290584321,0.069588708
2.92,1.51,1.35,0.67,0.59,0.78,0.54,OGS12,OGS12,63,40,flake,750,167,86,47,86,77.38,38.17,33.88,44.81,30.86,4,38727.41,57.13,2,Handaxe,2502.51,2.54,1.73,1.24,69.21,4.85,0.01,416576.71,69.21,Acheulean,1.94,3.55,24511.02,0.02,2,flake,Flaked,1.51109,-1.6088,NA,OGS12-63,Handaxe/Cleaver,167,86,77.38,38.17,33.88,44.81,30.86,2.922936076,1.505224566,1.354352057,0.668074671,0.592988469,0.784292009,0.540130583,230270.3364,166.6996195,85.69830057,48.76776449,62.40911132,72.34652152,79.07127505,46.10741969,77.58652209,36.61089825,35.46707625,28.93641999,2.0248,0.0107,-0.2236,-0.5395,-0.4423,4,25779.52488,0.000155162,26.618,31.088,42.294,38727.4062,40,0.258474246,1.567594654,4,1.56759,-1.60624,2.016545598,-0.056429457,0.076152788,1.520276012,2.158180408,3.726846686,2.253078334,1.097861309,1.945191659,3.418233771,0.000103286,25818.2708,0.000154929,2.294,-0.695842884,-0.483388238
2.2,1.57,1.41,0.98,0.69,0.69,0.44,OGS12,OGS12,64,0,flake,310,112.12,83.4,37.94,80,72,50,35.24,35.37,22.2,0,25965.26,50.97,2,Large Flake,#NULL!,2.27,2.04,2.25,#NULL!,0,0,239603.49,#NULL!,Acheulean,1.34,2.96,16433.71,0,2,flake,Unmodified,0.58292,0.39006,NA,OGS12-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.267158093,0.116519141
1.77,1.21,1.73,1.11,0.74,0.61,0.54,OGS12,OGS12,65,60,flake,750,108,106,38,74.08,105.36,67.8,45.02,37.22,32.9,13,31657.06,61.02,2,Handaxe,1572.29,1.65,2.83,2.06,50.82,10.83,0.04,338123.84,50.82,Acheulean,1.02,2.84,20036.11,0.06,2,cobble,Flaked,-0.09879,1.66246,NA,OGS12-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047039363,0.500633736
2.27,1.12,1.05,0.61,0.94,1.11,0.6,OGS12,OGS12,66,85,flake,772,151,74,63,74.37,69.7,40.36,62.42,74.13,40,12,42595.23,66.66,2,Pick,2012.55,1.19,0.94,1.01,56.92,10.25,0.03,569229.84,56.92,Acheulean,2.04,2.4,26959.01,0.04,2,cobble,Flaked,-0.40871,-1.86138,NA,OGS12-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189973256,-0.555787504
2.04,1.23,1.05,0.8,0.93,0.91,0.57,OGS12,OGS12,70,70,flake,1018,166,100.28,83,100.28,86,64.92,75.76,74,46.11,9,60066.42,81.57,2,Pick,3867.93,1.32,1.16,1.41,95.36,10.52,0.01,928777.04,95.36,Acheulean,1.66,2,38016.72,0.02,2,cobble,Flaked,-0.50672,-0.80488,NA,OGS12-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239375329,-0.243068445
2.24,1.3,1.1,0.66,1.05,0.86,0.53,OGS12,OGS12,74,80,cobble,896,150,90,73,86.88,73.77,44.09,70.15,57.66,35.18,15,44418.72,66.95,2,Pick,2123.07,1.24,1.28,1.25,55.75,12.49,0.03,589015.17,55.75,Acheulean,1.67,2.05,28113.11,0.05,2,cobble,Flaked,-0.15921,-1.40798,NA,OGS12-74,Pick,150,86.88,73.77,44.09,70.15,57.66,35.18,2.240348976,1.297610127,1.101803626,0.658513242,1.047736538,0.861190146,0.525436513,326280.0205,149.7376048,87.72087158,71.71778991,60.51875938,25.33583582,73.70279675,57.58451998,82.26780862,71.01789986,39.68432572,31.93314162,0.8599,-1.1407,1.0446,0.312,-0.2093,15,29198.25199,0.000513729,23.571,0,76.429,44418.7182,80,0.716951801,-0.120476569,15,-0.12048,-1.44325,0.3008804,-1.237997412,1.070388439,-0.25895816,2.033346889,2.601456816,1.970514856,1.994030699,1.706978078,2.087872549,0.000337695,29612.4788,0.000506543,-3.571,0.081715602,-0.421635648
2.6,1.49,1.51,0.66,0.51,0.69,0.73,OGS12,OGS12,75,0,flake,398,130.9,77.5,37.7,75,76.1,33.1,25.7,34.8,36.6,0,27687.07,50.25,2,Large Flake,#NULL!,2.92,2.19,0.9,#NULL!,0,0,249991.41,#NULL!,Acheulean,1.69,3.47,17523.46,0,2,flake,Unmodified,1.04937,-0.64571,NA,OGS12-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.478360402,-0.193965166
1.42,1.02,1.2,0.94,0.71,1.02,0.84,OGS12,OGS12,76,100,cobble,120,60,51.3,43.5,43,50.8,39.6,30,43,35.6,14,12379.76,42.2,1,Core,865.86,1.43,1.18,1.11,33.78,11.21,0.11,96706.37,33.78,Acheulean,1.17,1.38,7835.29,0.18,1,cobble,Flaked,-1.61097,0.79274,NA,OGS12-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751839674,0.244298492
1.91,1.55,1.39,0.8,0.68,0.74,0.61,OGS12,OGS12,78,25,flake,1018,151.9,145.61,58.91,123,110,63.36,53.6,58.7,48.3,5,55927.9,79.34,2,Knife,3646.27,2.29,1.87,1.31,70.54,4.45,0.01,807550.38,70.54,Acheulean,1.04,2.58,35397.41,0.01,2,flake,Flaked,-0.12778,0.51372,NA,OGS12-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065834885,0.159180695
